Gene_name	Light_01	Heavy_01	Light_02	Heavy_02	Light_03	Heavy_03	Light_04	Heavy_04	Light_05	Heavy_05	Light_06	Light_07	Heavy_06	Mixed
xpo-2	0	0	2	0	2	0	0	0	0	0	0	0	0	0
inf-1	11	3	10	5	12	2	5	5	7	6	4	8	1	3
ins-8	0	0	0	0	1	0	0	0	0	0	0	0	0	0
inx-3	0	0	0	1	0	0	0	1	0	0	0	0	0	0
inx-8	0	0	0	2	1	0	0	0	0	0	0	0	0	1
inx-12	0	0	0	1	0	0	0	0	0	0	0	0	0	0
inx-13	0	0	0	0	0	1	0	0	0	0	0	0	0	0
iars-1	0	0	1	31	1	21	0	10	0	9	0	0	1	0
isp-1	0	0	0	8	0	7	0	3	0	4	0	0	0	0
itr-1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
itx-1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
kat-1	0	0	6	1	4	1	0	0	0	0	0	0	0	0
kin-1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
kin-2	7	7	9	3	13	4	3	0	0	2	0	5	1	12
kin-3	0	1	5	5	4	10	0	2	0	1	0	2	0	0
kin-9	1	2	0	0	0	0	0	0	0	0	0	0	0	0
kin-10	0	0	1	1	1	0	0	0	1	1	0	0	0	0
kin-18	6	9	1	9	6	3	0	5	0	5	0	1	2	0
kin-19	0	4	3	9	5	5	0	5	0	7	0	0	0	0
kin-20	0	0	1	0	0	0	0	0	0	0	0	1	0	0
sid-3	1	0	0	0	0	0	1	0	0	0	0	0	0	0
klc-2	0	0	3	3	3	2	0	1	0	1	0	0	0	1
klp-6	0	4	0	4	0	3	0	1	0	4	0	0	0	0
klp-7	1	1	0	0	0	0	0	1	0	0	0	0	0	1
kars-1	0	0	4	5	3	4	1	2	1	6	0	1	2	0
laf-1	0	3	2	2	1	3	0	1	0	3	0	0	0	0
lam-1	0	0	3	6	2	3	0	0	0	0	0	0	0	0
lap-1	2	0	21	24	22	22	11	4	13	8	3	16	2	0
lap-2	2	1	42	63	41	56	28	27	26	40	16	28	15	3
lbp-1	0	0	5	0	2	0	0	0	2	0	0	0	0	0
lbp-2	0	0	9	2	6	0	1	0	3	0	1	1	0	0
lbp-3	3	0	5	2	3	4	0	2	0	3	0	3	1	2
lbp-4	1	0	0	0	1	0	0	0	0	0	0	0	0	0
lbp-5	1	1	3	0	3	0	0	0	0	0	0	0	0	0
lbp-6	10	16	16	10	15	7	4	9	8	11	7	11	3	5
ldh-1	3	0	20	3	22	2	12	0	11	1	7	11	0	0
lea-1	11	2	55	58	64	67	11	10	5	12	1	14	1	1
lec-1	61	67	48	25	55	32	16	22	26	29	14	35	13	109
lec-2	20	12	16	6	18	5	5	0	5	4	2	6	1	21
lec-3	9	1	7	1	10	1	3	0	2	1	0	3	1	10
lec-4	15	3	26	8	33	7	10	0	8	4	6	9	0	17
lec-5	5	3	24	4	22	4	9	0	16	1	10	18	0	4
lec-6	10	6	12	6	10	5	2	2	2	6	1	4	1	7
lec-8	3	2	8	6	8	6	5	6	3	5	3	5	3	3
lec-9	3	15	10	8	11	12	4	13	6	13	6	9	4	13
lec-10	0	4	3	1	1	3	1	2	0	2	0	0	1	0
lec-11	3	11	0	3	2	8	0	5	0	7	0	3	4	5
lem-2	0	1	0	1	0	1	0	0	0	0	0	0	0	0
let-2	0	0	2	0	1	0	0	0	0	0	0	0	0	0
let-60	9	1	3	7	4	7	1	3	0	3	0	3	1	12
let-70	0	0	1	1	1	1	0	1	0	1	0	1	0	2
let-92	1	1	3	1	3	1	0	0	1	1	2	1	0	0
let-363	0	0	1	0	0	0	0	0	0	1	0	0	0	0
let-502	0	6	0	3	1	0	0	2	0	1	0	0	0	0
let-711	0	0	0	4	0	3	0	1	0	2	0	0	0	0
let-721	0	0	0	3	1	2	0	1	0	3	0	0	0	0
let-754	0	0	0	1	0	0	0	0	0	0	0	0	0	0
let-767	0	0	4	14	3	23	0	8	0	8	0	0	4	5
let-805	0	0	0	2	1	1	0	0	0	0	1	0	0	0
lev-11	0	0	0	0	4	1	0	0	0	0	1	0	0	0
lin-23	0	1	0	1	0	1	1	0	0	0	0	0	0	0
lin-24	4	2	0	0	0	2	0	1	0	0	0	0	0	0
lin-33	0	0	1	0	2	0	0	0	0	0	0	0	0	0
lin-53	0	0	1	0	0	0	0	0	0	0	0	0	0	0
lis-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
lmn-1	1	0	1	0	0	0	0	0	0	1	0	0	0	0
lmp-1	3	7	8	3	6	3	4	3	4	5	4	4	4	22
lov-1	0	1	2	8	1	7	0	2	0	3	1	0	1	0
lpd-7	0	0	0	1	0	2	0	0	0	0	0	0	0	0
lpd-9	0	0	0	1	0	1	0	0	0	0	0	0	0	0
lrp-1	0	0	8	26	9	10	0	0	0	0	0	0	0	8
lars-1	0	0	0	13	0	17	0	5	0	8	0	0	0	0
lsm-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
lsm-4	0	0	1	0	1	0	0	0	0	0	1	0	0	0
lsm-6	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ccar-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
lst-4	9	2	0	0	3	1	0	1	0	1	0	1	0	0
lys-1	7	15	13	10	13	10	17	7	15	10	16	15	6	37
lys-2	3	5	3	5	7	2	1	2	2	1	2	2	0	15
lys-4	15	24	9	13	7	10	6	6	8	8	5	7	2	76
lys-6	0	2	0	0	0	0	0	0	0	0	0	0	0	1
lys-7	434	179	92	21	98	14	76	14	78	16	44	80	10	38
lys-8	140	40	35	12	44	9	41	7	34	6	18	34	9	33
lys-10	0	0	0	0	0	0	0	0	0	0	0	0	0	1
map-2	0	0	1	0	2	0	0	0	0	0	0	0	0	0
mbf-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mca-1	0	0	0	3	0	1	0	0	0	0	0	0	0	0
mca-3	5	3	5	16	7	8	1	4	0	9	0	1	0	1
mcm-2	0	0	0	1	0	2	0	0	0	3	0	0	0	0
mcm-3	0	0	1	1	1	1	0	1	0	1	0	0	0	0
mcm-4	0	0	0	2	1	0	0	3	0	7	0	0	0	0
mcm-5	0	0	0	0	0	1	0	1	0	7	0	0	0	0
mcm-6	0	0	1	0	1	0	0	1	0	2	0	0	0	0
mcm-7	1	0	0	2	0	5	1	4	0	5	0	1	0	1
mdh-2	19	0	8	4	6	7	13	4	15	4	10	22	0	0
mec-2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
mec-7	2	0	0	0	0	0	0	0	0	0	2	0	0	0
mec-12	4	1	0	0	0	0	0	0	0	0	2	0	0	0
mek-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mel-32	1	0	47	24	42	20	22	3	24	6	17	26	0	0
mev-1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
mif-1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
mig-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
mig-6	0	0	20	0	24	0	2	0	6	0	0	4	0	0
mig-14	0	0	0	0	0	0	0	1	0	2	0	0	0	0
mig-22	0	0	1	0	1	0	0	0	0	0	0	0	0	0
mlc-3	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mlc-4	0	0	3	0	2	0	0	0	0	0	1	0	0	0
mlp-1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
mog-2	1	0	0	0	0	2	0	0	0	0	0	0	0	0
mpk-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mrp-2	0	0	1	0	1	1	0	0	0	0	0	0	0	0
mrp-4	0	1	0	3	0	2	0	1	0	5	0	0	0	0
mrp-5	0	0	0	3	1	0	0	0	0	0	0	0	0	0
mrp-7	1	4	0	4	1	4	0	10	0	11	0	0	1	0
mars-1	1	0	1	14	1	11	0	3	0	6	0	0	0	0
mrt-2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
msp-33	0	0	0	0	0	0	0	0	0	0	0	1	0	0
msp-58	0	0	2	0	1	0	0	0	0	0	0	1	0	0
msp-78	0	0	1	0	2	0	0	0	0	0	0	0	0	0
mua-6	0	0	2	0	1	0	0	0	0	0	0	0	0	0
mup-4	0	0	2	0	2	0	1	1	0	0	0	0	0	0
myo-2	0	0	2	0	2	0	0	0	0	0	0	0	0	0
nas-10	1	0	0	0	0	0	0	0	0	0	0	0	0	0
nas-11	0	0	0	2	2	1	0	1	0	0	0	0	0	0
nas-15	0	0	0	0	0	0	0	0	0	1	0	0	0	0
nas-17	0	0	4	0	4	0	1	0	0	0	0	0	0	0
nas-20	0	0	3	0	4	0	1	0	0	0	0	0	0	0
nas-24	2	0	4	2	4	1	0	0	0	0	0	0	0	0
nas-28	0	0	2	0	2	1	0	0	2	0	0	0	0	0
nas-31	2	2	4	4	4	3	2	1	1	3	0	2	0	3
nas-32	0	0	0	0	0	1	0	0	0	0	0	0	0	0
nas-33	0	0	0	0	0	0	1	0	0	0	0	0	0	0
nas-37	0	0	4	0	3	0	0	0	2	1	0	2	0	0
ncl-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ncs-2	8	7	9	7	12	3	2	6	0	4	0	5	0	0
ndx-4	0	0	1	0	0	0	0	0	0	0	0	0	0	0
nex-1	43	21	52	27	59	23	24	4	32	13	19	42	6	109
nex-2	10	10	13	8	16	11	4	3	5	4	2	8	1	11
nex-3	5	0	7	4	8	5	4	0	4	2	0	5	0	3
nft-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
nhr-118	0	1	0	0	0	0	0	0	0	0	0	0	0	0
nhx-2	0	1	0	0	0	0	0	2	0	0	0	0	0	0
nid-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
nlp-24	0	0	1	0	2	0	0	0	1	0	2	1	0	0
nmy-1	0	1	3	2	5	4	0	0	0	1	1	0	0	0
nmy-2	0	0	8	11	7	8	0	0	0	1	0	0	0	0
npa-1	0	0	10	0	8	0	0	0	0	0	0	0	0	0
npp-1	14	0	22	0	19	0	7	0	8	0	2	4	0	0
npp-2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
npp-4	5	1	8	0	6	0	2	0	2	0	1	1	0	0
npp-8	4	0	3	1	0	0	0	0	0	1	0	0	0	0
npp-9	3	1	47	2	40	4	8	0	7	0	1	4	0	2
npp-10	1	0	10	0	6	0	2	0	3	0	1	2	0	0
npp-11	9	1	12	0	12	0	4	0	7	0	3	4	0	0
npp-12	0	0	0	3	0	1	0	2	0	3	0	0	0	0
npp-14	0	0	3	0	1	0	0	0	0	0	0	0	0	0
rae-1	0	0	2	0	1	0	0	0	0	0	0	0	0	0
npp-20	0	0	0	0	1	0	0	0	0	0	0	0	0	0
nrf-5	1	0	2	8	2	5	0	0	0	0	0	0	0	1
nrf-6	0	0	0	1	0	0	0	0	0	0	0	0	0	0
nars-1	0	0	2	1	4	1	1	1	2	2	0	3	0	0
nsf-1	6	3	6	11	5	8	0	1	0	2	0	1	0	2
nuc-1	4	0	9	1	3	0	1	0	4	0	2	4	0	0
odr-4	0	0	0	4	0	3	0	0	0	0	0	0	0	0
oig-2	0	0	1	0	1	0	0	0	0	0	0	0	0	0
oma-1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
pept-2	6	5	4	7	4	1	0	4	0	5	0	3	1	0
pept-1	1	13	0	7	0	10	0	15	0	14	0	0	3	0
osm-11	0	0	6	1	5	1	1	0	0	0	0	1	0	3
paa-1	2	1	10	10	7	6	1	3	3	5	0	4	2	1
pab-1	4	0	12	18	12	18	2	7	2	10	0	4	2	0
pab-2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
pad-1	5	1	0	5	4	2	0	0	0	0	0	1	0	0
pam-1	5	6	44	13	40	10	13	1	21	3	9	17	0	0
par-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
par-5	12	6	18	9	11	9	6	7	8	7	7	11	8	12
par-6	4	0	2	1	7	2	0	0	0	0	0	1	0	0
pas-1	2	0	0	18	2	20	6	16	5	14	4	11	9	1
pas-2	2	0	0	5	0	9	5	6	4	10	3	5	6	0
pas-3	1	0	0	3	0	6	3	6	3	5	2	4	6	0
pas-4	3	2	2	13	2	17	7	13	10	17	5	13	11	0
pas-5	6	1	0	15	1	24	14	14	11	24	5	19	15	0
pas-6	2	0	1	13	1	20	6	6	4	20	1	6	4	0
pas-7	1	1	0	8	1	12	4	8	4	14	4	11	4	0
pat-2	0	0	0	2	0	1	0	0	0	0	0	0	0	0
pat-3	0	0	1	4	0	3	0	1	0	0	0	0	0	2
pat-6	0	0	1	0	0	0	0	0	0	0	0	0	0	0
pat-10	0	0	0	0	2	0	0	0	0	0	0	0	0	0
pbo-1	1	9	0	2	1	3	0	6	0	8	0	0	1	6
pbs-1	3	0	0	6	0	4	3	4	4	11	2	6	4	1
pbs-2	0	0	0	8	0	12	5	7	3	9	1	8	5	0
pbs-3	1	0	0	10	0	10	6	10	4	8	2	7	4	0
pbs-4	1	0	0	10	1	10	7	9	6	12	3	5	7	0
pbs-5	2	0	0	15	0	14	7	12	7	14	3	7	9	0
pbs-6	0	0	0	7	0	7	0	4	0	6	0	3	3	0
pbs-7	1	0	0	10	0	9	5	8	3	12	2	8	8	0
pcn-1	0	0	5	0	2	0	0	0	1	1	0	0	0	0
pcp-1	22	49	13	42	19	36	11	32	7	34	2	12	16	45
pcp-2	9	39	11	44	14	46	1	34	1	49	1	13	18	43
pcp-3	37	96	28	64	29	73	26	57	24	73	18	39	34	88
pcp-4	25	51	18	61	23	52	5	41	5	55	0	16	34	68
pdi-1	4	5	21	31	20	31	9	18	8	18	2	14	11	43
pdi-2	5	7	29	41	31	46	12	16	6	25	5	15	8	52
pdi-3	3	3	28	38	21	44	5	11	6	18	2	9	9	45
pes-4	0	0	0	0	0	0	0	0	0	0	1	0	0	0
pes-8	1	0	0	1	0	0	0	0	0	0	0	0	0	0
pes-9	1	2	34	8	34	5	13	0	16	0	7	17	0	0
mct-4	0	0	1	3	1	1	0	0	0	0	0	0	0	0
pfn-1	8	7	11	2	10	0	1	2	3	3	1	6	1	2
pfn-2	2	4	5	2	6	0	2	3	3	3	2	3	0	7
pfn-3	0	0	2	0	1	0	0	0	1	0	0	0	0	0
pgl-1	1	0	4	7	3	6	0	0	1	1	0	0	0	0
pgl-3	0	0	2	3	3	3	0	1	0	4	0	0	0	0
pgp-1	11	67	0	39	2	48	0	60	0	71	0	3	23	0
pgp-2	3	0	4	3	1	1	0	0	0	0	0	0	0	0
pgp-3	1	3	0	10	0	9	0	10	0	11	0	0	0	0
pgp-6	0	0	0	0	0	0	0	0	0	0	1	0	0	0
pgp-8	0	0	1	1	0	0	0	0	0	0	0	0	0	0
pgp-9	1	10	0	7	0	11	0	19	0	22	0	0	3	0
phb-1	0	0	0	5	1	6	0	1	0	2	1	0	2	2
phb-2	0	0	0	3	0	3	0	2	0	3	1	0	0	0
pho-1	46	63	32	40	31	48	17	35	13	53	9	26	21	105
pho-4	6	31	3	16	3	11	1	8	1	14	1	1	3	26
phy-2	0	0	0	2	0	1	0	0	0	0	0	0	0	1
pkc-2	3	1	0	0	1	0	0	0	0	0	0	0	0	0
pkc-3	4	4	2	5	8	6	1	3	0	8	0	2	1	0
pkd-2	11	3	8	30	7	27	9	15	5	22	4	7	12	9
pld-1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
plp-1	2	5	6	15	10	16	6	12	0	11	0	10	5	6
parp-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
pmp-5	8	27	0	23	1	20	0	24	0	27	0	1	9	0
pmr-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pod-1	0	5	1	3	0	1	0	2	0	1	0	0	0	0
pod-2	0	0	11	38	12	33	1	2	3	8	0	0	0	0
pph-4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ppk-1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
ppw-2	0	0	1	0	1	0	0	0	0	0	0	0	0	0
hgrs-1	0	5	6	8	5	7	0	1	0	2	0	0	0	4
stam-1	1	7	3	3	4	4	0	0	0	2	0	0	0	12
pqn-27	0	0	2	0	0	0	0	0	0	1	0	0	0	0
pqn-83	1	0	4	2	6	2	2	0	2	0	0	2	0	5
pqn-84	0	0	1	0	0	0	0	0	2	0	0	0	0	0
pqn-87	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pqn-89	0	0	0	1	1	0	0	0	0	0	0	0	0	0
prg-1	0	0	1	0	1	1	0	0	0	0	0	0	0	0
T19D2.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
prp-8	0	0	0	2	0	3	0	1	0	3	0	0	0	0
pars-1	3	0	10	6	8	8	4	0	3	2	0	2	0	0
ptc-1	0	0	0	2	1	1	0	2	1	0	0	0	0	1
ptc-3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
puf-5	0	0	1	0	0	0	0	0	0	0	0	0	0	0
puf-9	0	0	1	0	0	0	0	0	0	0	0	0	0	0
pyc-1	0	0	0	3	0	6	0	1	0	1	0	0	0	0
pyr-1	0	0	1	7	0	10	0	4	0	10	0	0	0	0
qua-1	0	0	2	7	2	5	2	8	0	8	0	1	1	0
rab-1	26	11	25	17	23	15	16	14	15	15	10	18	12	52
rab-3	36	7	6	6	7	3	8	1	6	2	6	6	0	0
rab-5	9	8	8	6	11	9	5	5	3	9	3	9	2	6
rab-6.1	7	2	4	3	9	7	3	4	1	6	1	3	3	10
rab-6.2	9	0	4	2	6	4	0	4	3	3	0	5	0	5
rab-7	7	1	12	9	14	8	7	4	2	9	3	12	1	13
rab-8	5	3	6	6	7	6	3	3	3	5	2	7	2	6
rab-10	4	3	7	7	7	7	2	3	0	4	1	5	1	3
rab-11.1	18	16	16	14	19	15	16	19	10	22	7	17	8	33
rab-11.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
rab-14	5	1	2	3	3	3	0	0	1	2	0	2	0	1
rab-18	2	1	3	2	4	0	2	2	0	5	2	4	1	1
rab-21	1	0	0	0	0	0	0	0	0	0	0	0	0	0
rab-30	1	1	1	0	1	0	0	0	0	0	0	0	0	0
rab-35	8	6	3	4	3	1	1	1	1	2	0	1	0	4
ran-1	3	1	8	1	5	2	3	1	3	2	7	4	1	1
ran-2	0	0	3	0	4	0	0	0	1	0	0	0	0	0
rap-1	15	12	3	3	5	4	5	5	1	3	4	5	2	11
rap-2	1	0	1	0	1	0	0	0	0	0	0	1	0	0
ras-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
rcq-5	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ret-1	5	3	19	23	17	25	8	14	4	17	2	10	7	16
rfc-2	1	0	0	0	0	0	0	1	0	0	0	0	0	0
rhi-1	3	7	4	1	4	0	0	0	0	0	0	0	0	0
rho-1	28	31	13	21	18	19	6	13	6	14	10	13	4	30
rhr-1	0	0	1	3	1	2	0	1	0	0	0	1	0	0
ric-4	6	0	0	0	0	0	0	0	0	0	0	0	0	0
rme-1	86	76	92	77	82	69	43	41	35	50	24	55	23	98
rme-2	0	0	5	10	9	7	0	1	1	6	0	0	0	0
rme-8	0	0	2	9	5	3	0	0	0	0	0	0	0	0
rnf-5	0	0	0	1	0	0	0	0	0	0	0	0	0	0
rnp-2	0	0	1	1	1	2	0	0	0	0	0	0	0	0
rnp-3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
rnr-1	0	0	2	5	5	7	1	5	1	4	0	2	1	0
rnr-2	0	0	2	0	1	0	0	0	1	0	0	1	0	0
rop-1	0	1	15	5	16	3	2	1	3	2	0	8	0	0
rla-0	11	1	52	41	58	39	21	10	18	16	20	23	8	13
rla-1	0	0	6	14	9	7	4	2	3	2	1	2	3	0
rla-2	0	0	13	9	5	4	6	1	2	1	1	2	0	0
rpl-1	1	1	16	13	16	12	2	4	4	8	2	5	4	2
rpl-2	5	2	15	28	16	29	6	19	4	15	2	9	11	1
rpl-3	7	3	17	45	23	64	5	36	2	37	2	8	17	7
rpl-4	7	10	37	66	34	71	11	43	9	47	5	14	17	29
rpl-5	11	4	39	52	33	56	20	22	14	25	11	20	10	13
rpl-6	9	4	25	55	24	58	10	25	6	25	7	8	9	10
rpl-7	7	7	30	52	30	63	12	41	14	38	6	16	15	14
rpl-7A	5	3	22	29	18	41	5	20	5	24	1	6	10	1
rpl-9	5	1	10	17	13	33	9	11	5	17	5	8	7	11
rpl-10	6	8	11	24	15	27	6	15	8	14	5	7	5	11
rpl-11.1	2	1	4	4	3	7	0	3	1	3	1	0	1	1
rpl-11.2	1	0	2	2	1	4	0	2	0	1	0	0	0	4
rpl-12	1	1	27	21	23	19	4	2	6	4	5	8	2	2
rpl-13	4	3	5	24	11	20	4	13	1	14	1	3	5	1
rpl-14	7	3	10	19	7	16	4	13	3	8	3	5	7	14
rpl-15	2	0	7	26	7	29	0	10	0	10	0	3	6	0
rpl-16	2	5	8	23	8	27	4	14	5	12	1	8	7	8
rpl-17	1	1	11	21	15	28	5	13	7	17	3	4	6	6
rpl-18	6	4	32	33	37	33	9	16	9	18	6	12	11	5
rpl-19	2	2	5	16	5	18	2	10	1	9	0	3	4	3
rpl-20	6	2	16	29	16	31	10	18	8	20	3	10	6	16
rpl-21	3	3	8	14	8	15	3	9	4	5	2	9	2	6
rpl-22	7	4	19	18	22	26	6	14	10	18	2	12	5	14
rpl-23	7	3	7	9	5	9	3	5	3	7	1	6	2	7
rpl-24.1	2	3	7	8	8	11	3	7	3	7	1	2	5	6
rpl-25.1	0	0	17	14	17	12	6	5	3	6	3	6	2	0
rpl-25.2	0	0	21	15	24	14	8	8	10	6	6	12	1	0
rpl-26	1	0	6	14	8	16	1	9	0	9	0	4	1	3
rpl-27	4	2	20	22	16	26	5	7	5	13	3	10	5	0
rpl-28	4	1	8	11	5	11	5	5	2	7	2	5	4	4
rpl-29	0	0	0	0	1	1	0	0	0	0	0	0	0	0
rpl-30	6	2	25	28	31	29	8	16	6	15	6	16	5	1
rpl-31	2	0	2	3	2	3	1	2	2	3	1	1	1	4
rpl-32	2	2	12	16	15	18	4	11	5	11	2	9	5	4
rpl-33	3	5	21	25	13	27	7	14	5	17	2	7	4	6
rpl-34	1	1	7	6	8	6	3	3	2	1	2	2	0	1
rpl-35	2	3	4	11	4	9	1	7	2	7	2	4	3	4
rpl-36	1	0	10	16	12	16	6	14	5	11	6	7	7	11
rpl-38	0	0	0	0	1	0	0	0	0	0	0	0	0	2
rpl-39	0	0	1	1	1	2	0	1	0	1	0	0	0	0
rpl-36.A	0	0	4	8	4	6	1	6	1	6	0	1	2	1
rpl-43	1	1	7	13	7	21	3	9	2	7	1	3	2	3
rpn-1	4	2	11	44	18	43	2	12	1	20	0	2	5	0
rpn-2	2	0	12	32	9	34	3	18	2	21	0	7	9	0
rpn-3	4	1	19	24	26	24	4	13	4	12	2	6	5	4
rpn-5	1	0	6	12	9	17	2	9	3	11	0	2	5	0
rpn-6.1	1	0	16	12	17	11	2	2	1	6	0	3	2	0
rpn-7	0	0	9	13	10	12	3	5	1	5	0	4	1	0
rpn-8	3	1	11	12	10	15	0	7	0	6	0	0	1	0
rpn-9	0	0	16	10	19	12	1	5	0	10	1	5	0	0
rpn-10	1	0	0	0	0	0	0	0	0	1	0	0	0	0
rpn-11	4	0	6	5	3	6	0	0	0	1	0	0	0	0
rpn-12	0	0	6	0	4	0	0	0	2	1	0	0	0	0
rps-0	14	4	56	30	59	38	25	19	31	23	20	31	10	20
rps-1	5	2	20	32	28	37	6	23	5	22	4	8	6	19
rps-2	6	6	14	21	12	28	1	13	2	15	1	3	5	12
rps-3	10	5	44	45	45	51	20	17	20	25	12	24	9	30
rps-4	6	11	26	40	28	39	12	24	8	20	7	15	16	20
rps-5	2	4	13	23	14	23	12	26	9	23	4	12	13	26
rps-6	3	2	15	21	17	30	5	20	3	21	2	5	10	9
rps-7	3	4	14	12	11	20	6	15	11	13	4	17	8	6
rps-8	7	3	28	37	27	36	14	25	8	24	6	12	8	18
rps-9	2	3	10	25	10	24	2	21	3	21	1	6	4	7
rps-10	6	4	8	16	7	11	5	10	8	6	7	11	4	7
rps-11	3	3	14	21	12	20	4	11	2	9	2	5	5	16
rps-12	2	0	12	5	15	4	0	0	0	1	0	0	0	0
rps-13	3	1	11	16	14	21	7	13	8	10	5	13	7	6
rps-14	11	2	18	24	20	22	9	16	11	15	6	10	6	24
rps-15	3	1	16	28	19	26	7	17	5	19	4	7	11	16
rps-16	12	7	19	21	15	26	10	14	12	13	8	13	7	26
rps-17	4	1	16	22	15	25	7	9	7	11	4	9	3	6
rps-18	8	3	21	27	13	28	7	20	4	15	7	10	6	17
rps-19	7	4	20	23	20	26	12	10	6	15	5	9	5	16
rps-20	7	3	7	9	7	12	8	7	7	8	4	12	6	7
rps-21	0	0	5	0	1	0	0	0	0	0	0	0	0	0
rps-22	7	2	18	24	17	28	8	16	10	18	6	14	10	10
rps-23	2	2	4	7	5	8	2	4	3	4	2	2	2	6
rps-24	4	1	10	10	8	7	2	10	5	10	1	6	4	2
rps-25	2	0	12	13	9	20	4	4	5	7	2	8	3	4
rps-26	0	2	4	6	5	7	1	4	1	4	1	3	3	3
rps-27	2	1	6	8	6	12	3	2	1	5	2	3	4	2
rps-28	1	0	3	2	1	2	1	2	1	1	0	0	0	0
rps-29	1	0	2	7	4	4	1	2	1	3	1	2	0	3
rps-30	0	0	2	1	2	3	0	3	0	2	0	0	0	0
rpt-1	1	1	10	19	10	22	1	9	0	14	3	1	1	1
rpt-2	2	1	7	15	12	17	2	7	1	7	0	2	2	1
rpt-3	0	0	5	19	3	17	1	7	2	12	0	3	3	2
rpt-4	3	0	10	20	8	18	2	11	3	14	1	2	4	0
rpt-5	0	0	4	11	5	16	1	7	1	5	1	0	1	0
rpt-6	0	0	3	6	2	8	0	0	0	1	0	0	0	0
rars-1	0	0	3	18	1	15	0	8	0	11	0	1	1	0
rars-2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
rsp-2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
sax-7	0	3	10	8	6	4	0	1	0	1	0	0	0	3
sbp-1	0	0	0	1	0	1	1	0	0	0	0	1	0	0
sca-1	0	1	13	55	14	60	0	39	0	38	0	0	13	0
scm-1	8	2	19	15	18	8	5	5	3	11	0	6	1	17
sdc-2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
sec-5	0	0	0	3	1	0	0	1	0	0	0	0	0	0
sec-8	1	3	1	7	0	2	0	4	0	3	0	0	0	0
sec-23	1	1	5	2	3	0	4	0	2	1	1	3	0	0
sec-24.1	0	0	0	0	3	0	0	0	0	2	0	0	1	0
sec-24.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
sel-1	0	0	0	6	0	5	0	0	0	1	0	0	0	0
sel-2	4	2	1	0	2	0	0	0	0	0	0	3	0	0
sel-9	2	4	6	5	5	5	0	2	0	5	0	1	0	5
sem-5	2	1	1	0	0	2	0	0	0	0	0	0	0	0
sft-4	0	0	5	8	3	4	0	2	0	1	0	0	0	1
sgk-1	1	3	0	0	1	0	0	0	0	2	0	0	0	0
sid-2	8	6	7	6	8	4	1	4	1	4	0	4	1	4
sip-1	8	4	9	26	20	20	9	12	6	17	4	13	3	0
skr-1	0	0	4	1	2	0	2	0	0	0	0	1	0	0
skr-3	0	0	3	0	2	0	0	0	0	0	0	0	0	0
smf-1	2	1	0	1	0	0	0	0	0	0	0	0	0	0
smo-1	0	0	2	0	1	0	0	0	0	0	0	0	0	0
snb-1	36	15	17	12	21	10	13	9	11	10	7	12	4	46
snb-2	21	14	16	12	16	10	6	8	5	6	3	10	5	12
snf-3	0	0	2	1	0	1	0	0	0	0	0	0	0	0
snf-5	3	6	3	3	7	3	0	1	0	1	0	1	1	0
snf-9	2	2	0	0	2	0	1	1	0	0	0	1	0	0
snr-1	0	0	0	1	1	1	0	0	0	0	0	0	0	0
