Species	protein	log(e)2	% (measured)	% (corrected)	unique	total	Mr	upper	lower	1	2	3	4	5	6	7	8	9	10	11	light	heavy	Total
NA	sp|Q21193|PROF3_CAEEL	-18.4	17	28	2	4	13.5	NA	NA	2	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	4
NA	sp|Q21209|BARD1_CAEEL	-3	2.3	3	1	1	78.8	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|Q21215|GBLP_CAEEL	-329.8	73	81	24	224	35.8	NA	2	53	24	52	18	15	3	15	7	7	14	NA	12	2	224
NA	sp|Q21217|GABT_CAEEL	-255.9	54	75	22	79	53	NA	NA	26	5	23	3	4	NA	7	NA	4	7	NA	NA	NA	79
NA	sp|Q21219|PEPT1_CAEEL	-175.8	19	42	16	63	94	NA	NA	NA	7	NA	10	NA	15	NA	14	NA	NA	3	1	13	63
NA	sp|Q21221|AHO3_CAEEL	-4.2	3.9	6	1	3	36	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	3
NA	sp|Q21230|IF2B_CAEEL	-40.8	24	31	5	7	27.6	NA	NA	1	2	NA	2	NA	1	NA	NA	NA	NA	NA	1	NA	7
NA	sp|Q21265|TIMPL_CAEEL	-35.8	25	43	4	11	17.5	NA	NA	3	NA	5	NA	1	NA	2	NA	NA	NA	NA	NA	NA	11
NA	sp|Q21268|YMSO_CAEEL	-30.6	16	33	3	4	32.9	NA	NA	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
NA	sp|Q21276|NOP56_CAEEL	-200.5	48	66	18	56	54.5	NA	NA	6	14	6	15	NA	6	NA	8	NA	1	NA	NA	NA	56
NA	sp|Q21281|MUP4_CAEEL	-23	1.6	2	3	6	229.9	NA	NA	2	NA	2	NA	1	1	NA	NA	NA	NA	NA	NA	NA	6
NA	sp|Q21307|MEK1_CAEEL	-5.2	3.2	4	1	1	39.4	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|Q21313|EPI1_CAEEL	-59.2	2	3	7	11	404	NA	NA	2	2	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	11
NA	sp|Q21355|GST4_CAEEL	-53.7	33	44	5	21	23.9	NA	NA	3	NA	7	1	3	NA	4	NA	NA	3	NA	NA	NA	21
NA	sp|Q21388|NAS10_CAEEL	-4.4	2.1	3	1	1	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
NA	sp|Q21432|NAS11_CAEEL	-23.7	5.4	9	3	6	65	NA	NA	NA	2	2	1	NA	1	NA	NA	NA	NA	NA	NA	NA	6
NA	sp|Q21434|NRAMA_CAEEL	-45.2	8.2	18	3	4	63.1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	4
NA	sp|Q21443|LMN1_CAEEL	-8.2	2.3	4	1	3	64	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	3
NA	sp|Q21455|HMT13_CAEEL	-38.5	9.1	22	4	18	66.5	NA	NA	NA	4	NA	1	NA	3	NA	5	NA	NA	NA	1	4	18
NA	sp|Q21554|DDB1_CAEEL	-16.9	1.8	3	2	2	125.6	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|Q21568|NH2L1_CAEEL	-15.7	17	25	2	15	14	NA	NA	1	2	3	2	1	1	1	2	NA	1	1	NA	NA	15
NA	sp|Q21629|EGG2_CAEEL	-20.9	5.3	8	3	7	59.2	1	1	NA	1	1	NA	NA	1	NA	NA	NA	1	1	NA	NA	7
NA	sp|Q21691|NRDE3_CAEEL	-2.2	0.7	1	1	1	119.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1
NA	sp|Q21693|IF4E2_CAEEL	-25.9	14	23	2	9	25.7	NA	NA	1	1	1	3	NA	1	NA	NA	NA	1	NA	1	NA	9
NA	sp|Q21706|UGT47_CAEEL	-38.8	5	9	3	4	61.4	NA	NA	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
NA	sp|Q21752|VDAC_CAEEL	-364.5	89	100+	26	260	29.9	3	43	21	28	26	41	7	18	7	25	1	9	10	7	14	260
NA	sp|Q21770|WAGO1_CAEEL	-163.5	17	26	16	32	105.4	NA	NA	10	3	14	3	NA	NA	1	NA	1	NA	NA	NA	NA	32
NA	sp|Q21774|PUR8_CAEEL	-218.3	42	50	19	53	53.5	NA	NA	21	2	17	1	5	NA	3	NA	NA	4	NA	NA	NA	53
NA	sp|Q21802|YEYC_CAEEL	-3.1	0.9	2	1	1	64.5	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|Q21824|TDX1_CAEEL	-33.4	15	19	3	6	24.9	NA	NA	2	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
NA	sp|Q21874|YF1M_CAEEL	-11.7	1	2	1	1	163.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1
NA	sp|Q21882|HIUH1_CAEEL	-15.5	14	26	2	4	15.1	NA	NA	1	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
NA	sp|Q21890|YF64_CAEEL	-32.6	14	19	4	7	45.7	NA	NA	3	NA	3	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	7
NA	sp|Q21898|VATL1_CAEEL	-44.8	33	100+	4	43	16.9	NA	2	2	8	3	4	NA	7	NA	9	NA	1	1	2	4	43
NA	sp|Q21902|MCM5_CAEEL	-74.7	15	18	9	9	84.9	NA	NA	NA	NA	NA	1	NA	1	NA	7	NA	NA	NA	NA	NA	9
NA	sp|Q21917|GPA7_CAEEL	-11.4	1.7	2	1	1	41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
NA	sp|Q21920|ANKHM_CAEEL	-11.9	0.4	1	2	5	286.9	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	2	5
NA	sp|Q21926|SYIC_CAEEL	-304.7	27	33	31	74	129.9	NA	NA	1	31	1	21	NA	10	NA	9	NA	NA	1	NA	NA	74
NA	sp|Q21929|DCXR_CAEEL	-11.9	7.6	12	2	3	27.2	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|Q21930|RL28_CAEEL	-69.7	44	74	7	74	13.7	NA	4	8	11	5	11	5	5	2	7	2	5	4	4	1	74
NA	sp|Q21966|ASP4_CAEEL	-275.6	61	76	22	234	49.2	17	24	30	22	34	17	14	11	16	13	7	13	7	5	4	234
NA	sp|Q21984|CL158_CAEEL	-22.1	12	16	2	15	23.7	NA	1	2	NA	4	NA	3	NA	1	1	NA	2	NA	1	NA	15
NA	sp|Q21986|NAA25_CAEEL	-5	1.1	1	1	2	109.2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|Q21993|PFD5_CAEEL	-3.4	12	15	1	1	17.1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|Q21997|DERL2_CAEEL	-19.4	16	29	2	4	28	NA	NA	NA	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
NA	sp|Q22021|ATPK_CAEEL	-76.5	57	100+	8	19	18.7	NA	NA	1	4	NA	9	NA	2	NA	3	NA	NA	NA	NA	NA	19
NA	sp|Q22038|RHO1_CAEEL	-292	87	100+	23	226	21.6	NA	30	13	21	18	19	6	13	6	14	10	13	4	28	31	226
NA	sp|Q22053|FBRL_CAEEL	-91	24	33	8	30	36.4	NA	2	2	5	3	7	NA	6	NA	3	NA	NA	1	1	NA	30
NA	sp|Q22054|RS16_CAEEL	-198.6	69	88	19	203	16.3	2	24	19	21	15	26	10	14	12	13	8	13	7	12	7	203
NA	sp|Q22067|AATC_CAEEL	-204.1	41	73	16	83	45.5	NA	NA	21	1	23	NA	13	NA	8	NA	4	11	NA	1	1	83
NA	sp|Q22099|SYK_CAEEL	-68	13	19	7	29	65.1	NA	NA	4	5	3	4	1	2	1	6	NA	1	2	NA	NA	29
NA	sp|Q22100|THILH_CAEEL	-79.5	31	38	7	12	42.4	NA	NA	6	1	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	12
NA	sp|Q22122|ZC21A_CAEEL	-17.5	6.8	9	2	6	35.5	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	1	NA	1	1	6
NA	sp|Q22146|FRK1_CAEEL	-6.3	3.1	4	1	1	44.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
NA	sp|Q22169|SSRB_CAEEL	-50.2	28	87	5	26	21.5	NA	2	NA	8	1	9	NA	2	NA	4	NA	NA	NA	NA	NA	26
NA	sp|Q22235|ENPL1_CAEEL	-593	53	81	48	243	87.1	34	NA	19	43	24	50	8	11	2	26	NA	16	3	3	4	243
NA	sp|Q22252|FNDC1_CAEEL	-7.2	12	19	1	2	14.7	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	2
NA	sp|Q22267|PLC2_CAEEL	-23.7	12	15	3	5	32.7	NA	NA	NA	3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
NA	sp|Q22285|TTR46_CAEEL	-17.4	6.1	14	1	2	19.8	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2
NA	sp|Q22288|TTR15_CAEEL	-143.9	71	96	12	66	14.5	2	7	7	4	6	1	5	2	5	3	4	6	1	6	7	66
NA	sp|Q22347|ACADM_CAEEL	-50.3	16	23	6	11	44.8	NA	NA	4	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	11
NA	sp|Q22361|CNI1_CAEEL	-33.4	23	100+	4	15	16.8	NA	4	2	2	1	3	NA	2	NA	NA	NA	NA	1	NA	NA	15
NA	sp|Q22396|NAS20_CAEEL	-24.7	7.7	16	3	8	43.3	NA	NA	3	NA	4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	8
NA	sp|Q22492|HEXA_CAEEL	-190.4	34	51	19	72	64.3	5	NA	16	2	17	1	5	NA	8	2	1	11	NA	2	2	72
NA	sp|Q22494|VATH2_CAEEL	-572.6	77	100+	40	370	54.2	48	NA	24	36	37	33	8	38	3	44	1	13	20	13	52	370
NA	sp|Q22498|COPG_CAEEL	-229.8	27	35	20	96	96.2	NA	NA	15	14	13	21	1	10	NA	14	NA	3	4	1	NA	96
NA	sp|Q22516|CHD3_CAEEL	-11.6	1.2	2	2	3	205.1	NA	NA	NA	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|Q22523|NPL21_CAEEL	-2.5	1	2	1	2	88.3	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|Q22531|AMP2_CAEEL	-190.3	11	22	18	53	216.1	NA	NA	15	9	9	3	6	NA	2	1	1	7	NA	NA	NA	53
NA	sp|Q22560|IMA1_CAEEL	-10.9	3.2	7	2	4	59.9	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	4
NA	sp|Q22566|BST17_CAEEL	-12.2	6.6	12	2	3	57.9	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	1	3
NA	sp|Q22633|HPPD_CAEEL	-237.9	53	70	19	138	44.4	NA	NA	33	2	33	1	19	NA	16	NA	7	25	NA	1	1	138
NA	sp|Q22700|YCU3_CAEEL	-3.7	14	80	1	7	6.2	NA	NA	1	1	1	NA	NA	1	NA	1	NA	NA	1	1	NA	7
NA	sp|Q22706|EXOC2_CAEEL	-34.3	4.1	6	3	5	100.4	NA	NA	NA	3	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	5
NA	sp|Q22782|RAB6B_CAEEL	-159.6	42	47	8	45	23.3	NA	5	4	2	6	4	NA	4	3	3	NA	5	NA	9	NA	45
NA	sp|Q22799|DYL1_CAEEL	-93	61	100+	7	54	10.3	NA	8	5	5	6	5	NA	4	1	8	NA	1	NA	3	8	54
NA	sp|Q22851|ASIC2_CAEEL	-91.3	21	38	9	26	59.5	1	NA	NA	8	NA	4	NA	5	NA	6	NA	NA	1	NA	1	26
NA	sp|Q22866|TPM1_CAEEL	-35.4	15	22	5	6	33	NA	NA	NA	NA	4	1	NA	NA	NA	NA	1	NA	NA	NA	NA	6
NA	sp|Q22885|BROX_CAEEL	-274.2	55	71	20	113	48.3	6	NA	11	10	13	12	NA	11	NA	15	NA	5	2	5	23	113
NA	sp|Q22908|RASEF_CAEEL	-147.5	29	39	12	20	74.6	NA	NA	3	NA	4	NA	NA	NA	NA	NA	NA	1	NA	12	NA	20
NA	sp|Q22909|HM30_CAEEL	-2.3	3	6	1	1	26.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
NA	sp|Q22918|IF5_CAEEL	-21.6	6.7	10	3	8	48.8	NA	NA	2	1	3	1	NA	1	NA	NA	NA	NA	NA	NA	NA	8
NA	sp|Q23092|FABP4_CAEEL	-14.5	5.5	7	1	2	17.2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2
NA	sp|Q23120|RSP2_CAEEL	-2.3	2.8	6	1	1	32.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1
NA	sp|Q23223|MTR4_CAEEL	-6.3	1.1	1	1	1	116.3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|Q23232|WDR4_CAEEL	-14.4	7	10	2	2	43.6	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|Q23237|PSB3_CAEEL	-98.8	34	40	7	62	22.7	NA	NA	NA	10	NA	10	6	10	4	8	2	7	4	1	NA	62
NA	sp|Q23280|DAF41_CAEEL	-25.3	19	48	3	5	19.4	NA	NA	3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
NA	sp|Q23307|YHB8_CAEEL	-12.8	12	19	2	2	26.7	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|Q23312|RS7_CAEEL	-118.5	58	84	11	144	22	NA	6	14	12	11	20	6	15	11	13	4	17	8	3	4	144
NA	sp|Q23316|NICA_CAEEL	-23.7	4.8	9	3	3	81.6	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3
NA	sp|Q23445|SAR1_CAEEL	-76.7	53	60	6	32	21.7	NA	NA	1	5	2	4	2	2	2	5	2	4	NA	3	NA	32
NA	sp|Q23449|PSMD8_CAEEL	-59	28	32	6	13	28.8	NA	NA	6	NA	4	NA	NA	NA	2	1	NA	NA	NA	NA	NA	13
NA	sp|Q23500|ACOC_CAEEL	-458.9	50	74	37	265	96.6	NA	NA	63	17	49	13	25	3	34	4	20	33	NA	4	NA	265
NA	sp|Q23551|UNC22_CAEEL	-141.5	2.7	4	16	16	788.5	NA	NA	8	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16
NA	sp|Q23571|ODB2_CAEEL	-38.4	10	15	3	5	49.7	NA	NA	NA	2	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
NA	sp|Q23588|UTPP_CAEEL	-64	22	30	7	14	33	NA	NA	5	NA	7	NA	1	NA	NA	NA	NA	1	NA	NA	NA	14
NA	sp|Q23593|INX8_CAEEL	-27.3	7.3	12	4	5	44.5	NA	2	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
NA	sp|Q23670|TOP2_CAEEL	-60.2	5.3	7	7	16	172.2	NA	NA	NA	1	NA	5	NA	4	NA	5	NA	NA	1	NA	NA	16
NA	sp|Q23680|VATF_CAEEL	-65.6	58	73	5	38	13.3	NA	4	NA	5	NA	6	NA	6	NA	8	NA	NA	4	NA	5	38
NA	sp|Q27245|YH24_CAEEL	-498.2	86	100+	37	388	56.1	3	NA	42	63	41	56	28	27	26	40	16	28	15	2	1	388
NA	sp|Q27257|DIF1_CAEEL	-17.3	11	14	2	3	33.1	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|Q27274|RO60_CAEEL	-190.3	36	48	20	56	72.8	NA	NA	15	5	16	3	2	1	3	2	NA	8	NA	NA	1	56
NA	sp|Q27389|RL13A_CAEEL	-141.5	43	58	13	133	23	NA	8	8	23	8	27	4	14	5	12	1	8	7	2	6	133
NA	sp|Q27464|G6PD_CAEEL	-35.8	11	13	4	14	60.2	NA	NA	5	NA	2	NA	1	NA	2	1	1	2	NA	NA	NA	14
NA	sp|Q27487|CATA1_CAEEL	-113.8	16	20	6	16	57.4	NA	NA	4	3	7	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	16
NA	sp|Q27488|PSA2_CAEEL	-125.1	44	73	8	55	25.3	NA	NA	NA	5	NA	9	5	6	4	10	3	5	6	2	NA	55
NA	sp|Q27497|GLC7A_CAEEL	-111.7	16	22	4	13	37.2	NA	NA	2	1	2	1	1	NA	2	1	NA	3	NA	NA	NA	13
NA	sp|Q27504|CAH3_CAEEL	-10.4	6.1	7	1	4	28.1	NA	NA	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	4
NA	sp|Q27511|H2AV_CAEEL	-53.1	26	59	3	14	14.7	NA	NA	NA	2	1	2	NA	3	NA	4	NA	NA	NA	NA	2	14
NA	sp|Q27514|C13A5_CAEEL	-116.1	28	36	11	19	59.5	NA	NA	NA	9	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	19
NA	sp|Q27527|ENO_CAEEL	-492.8	80	89	37	380	46.6	10	NA	65	24	69	24	41	5	35	8	25	49	6	12	7	380
NA	sp|Q27535|KARG2_CAEEL	-139.2	32	48	12	83	40.4	NA	1	13	7	14	6	6	5	5	11	1	6	NA	6	2	83
NA	sp|Q27874|PAT3_CAEEL	-40.5	5.9	10	5	11	90.1	2	NA	1	4	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA	11
NA	sp|Q27888|LDH_CAEEL	-183.2	50	62	17	92	36	NA	NA	20	3	22	2	12	NA	11	1	7	11	NA	3	NA	92
NA	sp|Q27894|H2B2_CAEEL	-108.7	46	59	10	150	13.6	1	8	8	9	7	11	3	26	9	13	11	6	6	8	24	150
NA	sp|Q2PJ68|SGK1_CAEEL	-50.4	15	21	5	7	54.3	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	NA	NA	1	3	7
NA	sp|Q4TT88|PSA_CAEEL	-453.8	43	54	36	182	107.1	NA	NA	44	13	40	10	13	1	21	3	9	17	NA	5	6	182
NA	sp|Q564Q1|GALE_CAEEL	-64.7	26	34	6	23	37.9	NA	NA	5	1	8	1	2	NA	2	NA	NA	1	NA	3	NA	23
NA	sp|Q5CZ37|FITM2_CAEEL	-13.6	7.1	13	2	3	32.7	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|Q688C0|RT24_CAEEL	-3.6	6.1	7	1	1	19.2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|Q6BEV5|YRMC_CAEEL	-6.7	1.9	4	1	1	47.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
NA	sp|Q7JKC3|UBP7_CAEEL	-62.3	7.5	11	7	14	131.5	NA	NA	4	2	6	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	14
NA	sp|Q7JLI1|NAS31_CAEEL	-44.1	6.7	10	4	31	68.8	3	NA	4	4	4	3	2	1	1	3	NA	2	NA	2	2	31
NA	sp|Q7YWX7|WLS_CAEEL	-22.7	6	11	3	3	63.3	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	3
NA	sp|Q7YZW5|VEM1_CAEEL	-54.9	38	88	4	24	20.5	NA	4	2	5	4	7	NA	1	NA	1	NA	NA	NA	NA	NA	24
NA	sp|Q7Z139|HYL2_CAEEL	-18	7.6	11	2	3	39.1	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|Q7Z1Z1|CHSSA_CAEEL	-4.8	1.2	2	1	1	83.5	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|Q86NG3|CLC88_CAEEL	-43.2	19	28	4	6	26.1	NA	NA	3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	6
NA	sp|Q86S40|ADPGK_CAEEL	-13	5.8	7	2	2	56.7	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|Q86S66|NACA_CAEEL	-96.9	47	65	7	72	21.8	NA	1	8	10	5	11	3	8	1	11	NA	5	6	2	1	72
NA	sp|Q8I0G4|ZDHC4_CAEEL	-49.5	14	24	5	8	46.4	NA	NA	1	NA	NA	NA	NA	1	NA	1	NA	NA	NA	1	4	8
NA	sp|Q8I136|GALT4_CAEEL	-64.5	14	19	6	20	67	NA	NA	5	4	8	2	1	NA	NA	NA	NA	NA	NA	NA	NA	20
NA	sp|Q8I4E2|LST4_CAEEL	-92	18	28	10	18	64.3	NA	NA	NA	NA	3	1	NA	1	NA	1	NA	1	NA	9	2	18
NA	sp|Q8I7F8|ODR4_CAEEL	-35.4	11	18	3	7	53.7	NA	NA	NA	4	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
NA	sp|Q8MPX3|DNJ20_CAEEL	-27.2	17	26	3	4	39.8	NA	NA	NA	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
NA	sp|Q8MXQ7|CDKAL_CAEEL	-3.1	2.4	5	1	1	48.6	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|Q8MXS1|RAB18_CAEEL	-77.3	33	38	7	29	22.6	NA	1	3	2	4	NA	2	2	NA	5	2	4	1	2	1	29
NA	sp|Q8MYN5|ASP17_CAEEL	-101.6	25	54	9	46	42.7	1	NA	9	1	12	NA	4	NA	6	NA	2	5	NA	4	2	46
NA	sp|Q8T5S1|NHX2_CAEEL	-29.1	3.7	8	3	7	72.6	NA	NA	NA	1	NA	1	NA	3	NA	NA	NA	NA	NA	NA	2	7
NA	sp|Q8WQ99|KC1G_CAEEL	-212.3	54	81	18	88	46.3	NA	NA	10	9	12	8	1	7	NA	11	NA	5	1	11	13	88
NA	sp|Q8WQA4|EXC4_CAEEL	-2.5	2.8	4	1	1	33.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
NA	sp|Q8WQG1|YLC1_CAEEL	-3.7	7.7	10	1	3	24.9	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|Q8WT44|UBPH_CAEEL	-51.1	4.9	6	6	8	134	NA	NA	1	1	NA	2	NA	NA	NA	NA	NA	NA	NA	2	2	8
NA	sp|Q8WTJ4|UBXN6_CAEEL	-11.7	5.3	9	1	2	49	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2
NA	sp|Q8WTM6|ARPC2_CAEEL	-19	6.6	10	2	4	34.5	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	4
NA	sp|Q93235|AT1B1_CAEEL	-205.4	55	85	17	146	36.6	24	14	17	21	17	13	4	8	1	9	1	3	1	5	8	146
NA	sp|Q93243|NAS37_CAEEL	-45.2	6.4	9	5	12	85.1	NA	NA	4	NA	3	NA	NA	NA	2	1	NA	2	NA	NA	NA	12
NA	sp|Q93244|CYSK1_CAEEL	-57.8	19	24	5	13	35.9	NA	NA	5	NA	3	NA	NA	NA	1	NA	NA	4	NA	NA	NA	13
NA	sp|Q93249|CAB1_CAEEL	-73.2	20	34	8	15	47.2	NA	NA	5	1	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15
NA	sp|Q93379|GSHR_CAEEL	-276	53	70	22	138	51.4	NA	NA	35	5	31	1	19	NA	17	1	8	19	NA	2	NA	138
NA	sp|Q93454|RAE1_CAEEL	-5.5	2.9	5	1	3	41.4	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|Q93542|NAS24_CAEEL	-40.9	11	21	5	13	45.1	NA	NA	4	2	4	1	NA	NA	NA	NA	NA	NA	NA	2	NA	13
NA	sp|Q93561|DERL1_CAEEL	-61.8	27	53	5	15	28.4	NA	NA	NA	7	1	4	NA	1	NA	2	NA	NA	NA	NA	NA	15
NA	sp|Q93572|RLA0_CAEEL	-293.3	57	80	21	331	33.8	2	11	52	41	58	39	21	10	18	16	20	23	8	11	1	331
NA	sp|Q93573|TCTP_CAEEL	-193.4	80	97	17	95	20.5	NA	1	18	5	14	4	8	3	9	1	5	10	NA	14	3	95
NA	sp|Q93615|ETFA_CAEEL	-12.4	10	15	2	2	34.4	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2
NA	sp|Q93714|IDH3A_CAEEL	-79.1	28	38	8	23	38.4	NA	NA	7	2	6	3	2	NA	NA	1	NA	1	NA	1	NA	23
NA	sp|Q93789|LIPL1_CAEEL	-2.7	2	4	1	1	45.8	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|Q93796|NRF5_CAEEL	-60.4	15	37	7	19	60.8	1	NA	2	8	2	5	NA	NA	NA	NA	NA	NA	NA	1	NA	19
NA	sp|Q93841|PLC1_CAEEL	-53.5	23	28	6	12	29.6	NA	NA	NA	6	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	12
NA	sp|Q93890|SRF3_CAEEL	-2.5	2.4	4	1	1	40.7	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|Q94051|CAV1_CAEEL	-121.9	40	54	9	45	26.3	NA	1	5	2	3	4	3	6	2	3	NA	4	1	4	7	45
NA	sp|Q94053|MSP78_CAEEL	-111.3	10	12	1	3	14.2	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|Q94071|LIPB_CAEEL	-3.1	0.5	1	1	1	112.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
NA	sp|Q94148|RAB10_CAEEL	-136.9	42	55	7	54	22.7	NA	3	7	7	7	7	2	3	NA	4	1	5	1	4	3	54
NA	sp|Q94218|UFSP_CAEEL	-2.8	1.9	4	1	1	66.5	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|Q94231|ARF11_CAEEL	-9.1	7.8	12	1	1	20.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
NA	sp|Q94261|EIF3M_CAEEL	-126.7	39	54	13	39	44.1	NA	NA	11	11	9	5	NA	1	NA	2	NA	NA	NA	NA	NA	39
NA	sp|Q94300|RL111_CAEEL	-118.4	54	100+	10	135	22.7	2	6	13	25	13	28	3	13	2	14	2	4	3	5	2	135
NA	sp|Q94360|NDUS7_CAEEL	-13.4	12	13	2	2	21.9	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|Q94392|NSF_CAEEL	-168.2	22	26	15	45	91.3	2	NA	6	11	5	8	NA	1	NA	2	NA	1	NA	6	3	45
